2017/10/16 19:22:43 [error] 14188#13812: *1 CreateFile() "D:\Counter\webapp\src/80" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /80 HTTP/1.1", host: "localhost"
2017/10/16 19:22:44 [error] 14188#13812: *1 CreateFile() "D:\Counter\webapp\src/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "localhost", referrer: "http://localhost/80"
2017/10/16 19:29:45 [error] 14188#13812: *5 CreateFile() "D:\Counter\webapp\src/assets/plugins/font-awesome/css/font-awesome.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/font-awesome/css/font-awesome.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *6 CreateFile() "D:\Counter\webapp\src/assets/plugins/bootstrap/css/bootstrap.min.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *8 CreateFile() "D:\Counter\webapp\src/assets/global/plugins/swiper/swiper.min.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/global/plugins/swiper/swiper.min.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *4 CreateFile() "D:\Counter\webapp\src/assets/global/css/components.css" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/global/css/components.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *5 CreateFile() "D:\Counter\webapp\src/assets/plugins/jquery.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/jquery.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *6 CreateFile() "D:\Counter\webapp\src/assets/plugins/bootstrap/js/bootstrap.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/bootstrap/js/bootstrap.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *7 CreateFile() "D:\Counter\webapp\src/assets/plugins/angularjs/angular.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/angularjs/angular.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *4 CreateFile() "D:\Counter\webapp\src/assets/plugins/angularjs/angular-ui-router.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/angularjs/angular-ui-router.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *5 CreateFile() "D:\Counter\webapp\src/assets/plugins/angularjs/angular-touch.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/angularjs/angular-touch.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *6 CreateFile() "D:\Counter\webapp\src/assets/plugins/angularjs/angular-animate.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/angularjs/angular-animate.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *7 CreateFile() "D:\Counter\webapp\src/assets/plugins/angularjs/ocLazyLoad.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/plugins/angularjs/ocLazyLoad.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2017/10/16 19:29:45 [error] 14188#13812: *8 CreateFile() "D:\Counter\webapp\src/assets/global/plugins/swiper/swiper.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: localhost, request: "GET /assets/global/plugins/swiper/swiper.min.js HTTP/1.1", host: "localhost", referrer: "http://localhost/"
